,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
740,EA Canada,107902,Mixed or average reviews,49,"Sports, Traditional, Team, Soccer, Sim, Sim",4 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Mixed or average reviews,33
741,EA Canada,107934,Generally favorable reviews,12,"Sports, Traditional, Team, Soccer, Sim, Sim",2 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,61
742,EA Canada,163017,Generally favorable reviews,22,"Sports, Traditional, Soccer, Sim",2 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,10
743,EA Canada,163018,Generally favorable reviews,17,"Sports, Traditional, Soccer, Sim",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Mixed or average reviews,7
744,Visual Concepts,107635,Mixed or average reviews,5,"Sports, Traditional, Team, Baseball, Sim, Sim",2 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E,No user score yet,
745,Sports Mogul,107821,Generally favorable reviews,8,"Sports, Traditional, Team, Baseball, Management, Management, Sim",,Enlight Software,https://www.metacritic.com/company/enlight-software,E,Mixed or average reviews,8
746,"Aqua Pacific, In2Games",107055,Mixed or average reviews,11,"Sports, Traditional, Golf, Sim",,Mad Catz,https://www.metacritic.com/company/mad-catz,E,Mixed or average reviews,4
747,"Aqua Pacific, In2Games",162914,Mixed or average reviews,12,"Sports, Traditional, Golf, Sim",,Mad Catz,https://www.metacritic.com/company/mad-catz,E,No user score yet,
748,Kush Games,107633,Mixed or average reviews,22,"Sports, Traditional, Team, Baseball, Sim, Sim",2 Players 2 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E,Generally unfavorable reviews,38
749,Midway,107665,Mixed or average reviews,19,"Sports, Traditional, Basketball, Arcade",2 Players Online,Midway,https://www.metacritic.com/company/midway,E,Generally favorable reviews,9
750,Kush Games,107634,Mixed or average reviews,19,"Sports, Traditional, Baseball, Sim",2 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E,Mixed or average reviews,27
751,Kush Games,162973,Mixed or average reviews,21,"Sports, Traditional, Baseball, Sim",2 Players Online,2K Sports,https://www.metacritic.com/company/2k-sports,E,Mixed or average reviews,12
752,Midway,162977,Mixed or average reviews,23,"Sports, Traditional, Basketball, Arcade",,Midway,https://www.metacritic.com/company/midway,E,Generally favorable reviews,5
753,Pam Development,106671,Generally favorable reviews,52,"Sports, Traditional, Individual, Tennis, Tennis",4 Players Online Up to 4 Players,2K Sports,https://www.metacritic.com/company/2k-sports,E,Mixed or average reviews,25
754,Indie Built,106690,Mixed or average reviews,8,"Sports, Traditional, Individual, Tennis, Tennis",,2K Sports,https://www.metacritic.com/company/2k-sports,E,No user score yet,
755,Konami,107090,Mixed or average reviews,54,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,Konami,https://www.metacritic.com/company/konami,M,Mixed or average reviews,36
756,"Starfish, Starfish SD",105677,Generally unfavorable reviews,6,"Sports, Individual, Nature, Fishing, Fishing",No Online Multiplayer,"Majesco Games, Majesco",https://www.metacritic.com/company/majesco-games,E,No user score yet,
